PID,AdoptionSpeed
1,1
2,1
7,1
9,4
11,2
12,2
25,4
33,4
34,2
35,4
43,2
50,4
51,4
52,2
53,4
55,2
62,1
67,4
69,4
70,4
73,4
74,2
75,2
76,3
80,3
86,4
88,4
91,1
92,2
94,4
104,2
107,2
112,2
113,2
115,1
116,4
118,2
120,3
121,4
126,2
127,4
134,2
137,4
139,2
140,3
150,3
154,2
157,3
159,2
165,4
178,4
182,4
183,4
186,3
191,2
192,4
196,4
197,4
198,4
199,2
203,2
214,1
217,2
219,2
226,1
228,2
230,2
235,4
240,2
241,3
242,2
245,1
247,2
248,2
249,3
252,2
256,4
261,1
264,4
265,3
267,1
270,2
271,4
272,3
273,4
276,3
278,2
279,2
280,2
292,2
296,3
304,4
305,2
308,2
313,4
314,4
321,0
324,4
325,2
331,2
336,4
337,4
351,3
358,4
364,4
366,2
367,1
376,1
378,3
383,1
384,4
385,4
388,2
389,2
390,3
393,4
395,4
396,2
398,1
399,3
401,1
403,4
405,1
408,4
411,4
412,1
419,1
420,2
421,2
427,2
431,3
435,1
437,2
438,4
441,4
444,2
445,4
446,4
447,4
450,1
453,2
462,2
464,2
467,4
469,1
471,3
473,2
475,2
478,2
485,2
488,4
489,4
498,2
499,1
503,4
506,4
507,1
508,4
509,3
512,2
513,1
517,2
518,4
522,2
523,1
524,2
529,1
530,3
531,2
532,2
534,3
535,4
536,2
540,2
549,1
551,4
554,2
558,4
560,2
568,4
571,3
574,4
575,2
577,4
581,3
594,4
611,1
614,2
615,4
618,2
619,1
627,1
630,1
631,1
645,2
648,1
653,4
661,1
671,2
675,3
678,2
679,2
680,2
684,2
688,4
705,4
707,2
710,4
715,2
716,3
717,3
719,2
720,1
723,2
725,2
727,3
731,1
735,2
737,2
742,2
745,2
748,3
751,2
755,1
758,1
759,1
763,3
766,4
767,2
769,1
771,2
774,2
777,4
778,2
785,2
789,4
795,1
796,2
799,2
800,1
805,4
806,2
807,4
810,1
811,2
813,2
814,2
820,2
825,1
828,4
836,1
843,1
847,3
851,4
853,2
860,2
868,3
869,3
876,4
884,2
890,1
891,3
892,2
897,4
905,2
906,1
917,2
918,2
920,2
922,4
923,2
931,4
932,4
937,1
943,4
947,3
948,2
953,2
959,3
966,4
971,4
972,1
981,2
984,3
989,4
990,4
996,4
998,2
1002,2
1003,2
1004,2
1007,2
1011,4
1012,4
1014,2
1015,4
1018,4
1022,3
1023,2
1024,4
1026,4
1027,3
1029,1
1037,2
1041,4
1044,1
1048,3
1050,1
1052,4
1053,1
1054,2
1056,2
1060,2
1061,3
1062,3
1065,1
1074,2
1079,2
1080,4
1083,4
1084,2
1088,2
1090,3
1098,4
1101,4
1102,4
1103,3
1104,1
1107,4
1110,4
1117,4
1120,4
1121,1
1122,4
1123,3
1130,4
1136,1
1140,2
1145,2
1146,4
1148,4
1149,4
1150,1
1151,1
1155,4
1157,2
1158,4
1160,4
1163,2
1165,0
1166,2
1171,2
1176,4
1178,2
1180,2
1183,1
1185,4
1189,1
1195,1
1196,3
1197,2
1198,4
1200,3
1205,2
1209,2
1213,1
1220,2
1223,4
1228,3
1230,4
1236,2
1238,2
1240,4
1241,4
1242,2
1243,3
1244,2
1248,1
1250,4
1261,3
1271,2
1272,3
1277,2
1281,4
1294,1
1299,2
1301,2
1304,2
1305,4
1306,2
1307,4
1309,2
1311,4
1313,1
1317,2
1322,4
1324,2
1327,4
1331,4
1333,1
1334,4
1342,1
1343,2
1344,4
1348,1
1350,4
1353,2
1355,2
1356,4
1360,2
1364,2
1366,1
1367,2
1370,2
1372,1
1375,4
1382,4
1386,3
1388,4
1395,4
1399,2
1403,1
1406,2
1407,4
1409,1
1415,1
1419,3
1424,3
1425,1
1427,4
1429,1
1437,4
1440,2
1444,1
1447,4
1448,2
1452,1
1455,4
1464,2
1466,4
1468,2
1469,4
1471,2
1472,1
1476,4
1477,2
1478,3
1480,2
1499,2
1509,4
1510,3
1511,4
1512,2
1517,1
1519,4
1521,2
1528,2
1532,4
1540,1
1544,3
1546,4
1550,4
1552,2
1553,4
1558,2
1559,3
1562,4
1564,0
1572,2
1573,2
1584,1
1589,2
1591,2
1594,4
1599,4
1607,2
1610,4
1616,2
1619,3
1623,2
1630,2
1633,2
1634,4
1638,1
1639,1
1641,2
1645,2
1647,4
1648,4
1649,2
1655,2
1662,1
1664,3
1665,2
1667,4
1669,4
1671,2
1672,2
1673,3
1674,2
1681,2
1683,2
1685,2
1686,2
1689,2
1698,2
1700,2
1712,4
1715,3
1718,2
1727,1
1728,3
1735,2
1740,2
1741,4
1742,3
1748,2
1754,2
1755,3
1756,4
1761,3
1766,1
1771,2
1772,2
1773,4
1774,2
1779,4
1781,4
1785,1
1791,4
1796,1
1800,4
1801,3
1805,3
1811,3
1815,2
1817,1
