PID,AdoptionSpeed
1,1
2,3
7,1
9,4
11,2
12,2
25,4
33,4
34,2
35,4
43,4
50,2
51,4
52,2
53,4
55,2
62,1
67,4
69,3
70,4
73,2
74,2
75,2
76,2
80,2
86,4
88,4
91,1
92,2
94,4
104,2
107,2
112,2
113,2
115,1
116,4
118,4
120,3
121,4
126,4
127,4
134,1
137,4
139,2
140,4
150,4
154,2
157,2
159,1
165,4
178,4
182,4
183,4
186,4
191,2
192,2
196,3
197,2
198,4
199,2
203,3
214,1
217,4
219,2
226,2
228,1
230,2
235,2
240,2
241,2
242,2
245,1
247,2
248,1
249,2
252,2
256,4
261,2
264,4
265,4
267,4
270,1
271,2
272,2
273,4
276,2
278,2
279,2
280,2
292,4
296,2
304,4
305,4
308,2
313,4
314,4
321,1
324,4
325,2
331,1
336,4
337,3
351,2
358,4
364,4
366,2
367,4
376,1
378,1
383,1
384,2
385,4
388,2
389,2
390,4
393,2
395,4
396,2
398,1
399,4
401,1
403,4
405,2
408,4
411,2
412,1
419,4
420,4
421,2
427,2
431,4
435,1
437,2
438,4
441,4
444,2
445,2
446,4
447,4
450,4
453,2
462,2
464,1
467,3
469,4
471,2
473,1
475,2
478,2
485,1
488,4
489,4
498,4
499,1
503,4
506,4
507,1
508,4
509,4
512,2
513,3
517,2
518,4
522,2
523,1
524,1
529,1
530,3
531,2
532,2
534,4
535,4
536,1
540,2
549,3
551,2
554,4
558,4
560,2
568,4
571,1
574,4
575,2
577,4
581,4
594,4
611,1
614,2
615,2
618,2
619,1
627,2
630,2
631,1
645,4
648,1
653,4
661,4
671,2
675,3
678,2
679,4
680,2
684,4
688,4
705,2
707,2
710,4
715,2
716,2
717,4
719,2
720,1
723,4
725,2
727,3
731,1
735,2
737,2
742,2
745,1
748,3
751,2
755,1
758,2
759,1
763,3
766,4
767,2
769,1
771,2
774,2
777,4
778,2
785,1
789,4
795,2
796,2
799,1
800,1
805,3
806,2
807,4
810,4
811,2
813,2
814,4
820,2
825,1
828,4
836,1
843,1
847,3
851,3
853,1
860,2
868,4
869,4
876,2
884,2
890,2
891,4
892,1
897,4
905,2
906,1
917,2
918,4
920,2
922,2
923,2
931,4
932,2
937,1
943,4
947,2
948,1
953,1
959,4
966,4
971,4
972,3
981,1
984,3
